Artist,C,Position,Streams,Track Name,URL,Unnamed: 0,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
Nicky Jam,CL,114,40962,Polvo,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5,113,113,0.0105,0.763,211130,0.621,2.94e-06,11,0.106,-6.169,0,0.066,82.042,4,audio_features,0.582
Marcianeke,CL,115,40594,Pistolas Con Chip,https://open.spotify.com/track/2DBIgoTbNKohMj9vLlgMOK,114,114,0.664,0.755,172368,0.644,0.0,4,0.337,-8.843,0,0.0799,98.014,4,audio_features,0.741
Bad Bunny,CL,116,40297,Vete,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,115,115,0.0363,0.886,192024,0.672,8.78e-06,1,0.101,-4.394,1,0.188,91.976,4,audio_features,0.526
Olivia Rodrigo,CL,117,40283,drivers license,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,116,116,0.768,0.561,242013,0.431,1.42e-05,10,0.106,-8.81,1,0.0578,143.875,4,audio_features,0.137
Jhay Cortez,CL,118,39831,No Me Conoce - Remix,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,117,117,0.145,0.806,309120,0.786,0.0,10,0.0935,-3.831,0,0.0741,91.973,4,audio_features,0.58
Bad Bunny,CL,119,39151,Una Vez,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj,118,118,0.132,0.55,232496,0.598,2.58e-06,11,0.0955,-5.402,0,0.0831,83.836,4,audio_features,0.543
Manuel Turizo,CL,120,39022,Mala Costumbre,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX,119,119,0.243,0.823,230728,0.772,0.0,0,0.118,-4.935,1,0.0591,96.001,4,audio_features,0.582
Doja Cat,CL,121,38878,Ain't Shit,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,120,120,0.506,0.855,174253,0.488,0.0,3,0.347,-4.601,1,0.208,124.097,4,audio_features,0.619
Ozuna,CL,122,38758,Este Loko,https://open.spotify.com/track/75kntiN9imnekH6siBHc0x,121,121,0.00809,0.689,200215,0.768,0.000864,4,0.103,-4.697,0,0.096,171.93,4,audio_features,0.591
Ak4:20,CL,123,38460,Rata Tan Tan,https://open.spotify.com/track/7wWqLiOmDfjGTwrz95niTD,122,122,0.0728,0.811,152732,0.591,0.0,2,0.119,-7.16,1,0.173,96.991,4,audio_features,0.768
Camilo,CL,124,38374,BEBÉ,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs,123,123,0.476,0.862,197284,0.72,0.0,4,0.0543,-4.155,1,0.0361,129.993,4,audio_features,0.967
Rauw Alejandro,CL,125,38270,Tattoo - Remix with Camilo,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE,124,124,0.0406,0.721,222680,0.637,0.0,9,0.0525,-5.134,1,0.286,193.922,4,audio_features,0.691
Ed Sheeran,CL,126,38225,Bad Habits,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,125,125,0.0469,0.808,231041,0.897,3.14e-05,11,0.364,-3.712,0,0.0348,126.026,4,audio_features,0.591
Farruko,CL,127,38087,La Tóxica,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv,126,126,0.0882,0.659,180520,0.701,0.0,9,0.0866,-4.107,1,0.164,91.97,4,audio_features,0.623
Super Yei,CL,128,38052,La Forma en Que Me Miras,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV,127,127,0.149,0.656,307435,0.665,8.33e-06,1,0.16,-1.387,1,0.189,189.984,4,audio_features,0.569
Sech,CL,129,37614,Relación - Remix,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,128,128,0.0337,0.793,247308,0.771,1.51e-06,5,0.284,-3.417,1,0.0959,171.943,4,audio_features,0.835
KAROL G,CL,130,37180,200 COPAS,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG,129,129,0.767,0.515,217213,0.704,0.0,9,0.415,-5.25,0,0.206,91.246,3,audio_features,0.885
Bad Bunny,CL,131,36859,Callaita,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,130,130,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,audio_features,0.244
Jay Wheeler,CL,132,36744,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD,131,131,0.104,0.841,382555,0.674,0.0,2,0.131,-5.35,1,0.0962,90.007,4,audio_features,0.761
Crissin,CL,133,36641,Poblado,https://open.spotify.com/track/47gSYfwFBbV1BXHfXEq1qs,132,132,0.00935,0.895,201597,0.707,0.0,3,0.115,-7.478,0,0.0931,93.036,4,audio_features,0.481
Doja Cat,CL,134,36571,Need To Know,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi,133,133,0.304,0.664,210560,0.609,0.0,1,0.0926,-6.509,1,0.0707,130.041,4,audio_features,0.194
Bad Bunny,CL,135,36197,Si Estuviésemos Juntos,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,134,134,0.0626,0.672,169248,0.594,5.14e-05,1,0.152,-6.813,0,0.0789,171.854,4,audio_features,0.158
Bad Bunny,CL,136,36118,La Difícil,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,135,135,0.0861,0.685,163084,0.848,7.14e-06,8,0.0783,-4.561,0,0.0858,179.87,4,audio_features,0.761
Camilo,CL,137,35724,Vida de Rico,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs,136,136,0.18,0.808,184722,0.497,0.0,6,0.0642,-4.008,1,0.0453,87.987,4,audio_features,0.962
Manuel Turizo,CL,138,35711,Amor en Coma,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5,137,137,0.369,0.644,199882,0.661,0.0,1,0.0733,-4.877,0,0.451,180.05,4,audio_features,0.355
Camilo,CL,139,35413,Machu Picchu,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf,138,138,0.397,0.788,179005,0.789,0.0,0,0.226,-2.39,1,0.124,167.897,4,audio_features,0.867
Kevin Roldan,CL,140,35199,Hasta Abajo,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw,139,139,0.289,0.714,229827,0.671,0.0,5,0.325,-5.119,1,0.362,169.732,4,audio_features,0.641
The Kid LAROI,CL,141,35137,Stay (with Justin Bieber),https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,140,140,0.0383,0.591,141806,0.764,0.0,1,0.103,-5.484,1,0.0483,169.928,4,audio_features,0.478
Olivia Rodrigo,CL,142,34847,"jealousy, jealousy",https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,141,141,0.198,0.695,173160,0.575,0.0,10,0.0614,-6.334,0,0.116,163.929,4,audio_features,0.699
Wisin,CL,143,34831,Mi Niña,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi,142,142,0.31,0.823,213314,0.821,4.28e-06,8,0.143,-3.402,0,0.166,99.999,4,audio_features,0.791
FMK,CL,144,34408,YO SE QUE TU (feat. Rusherking),https://open.spotify.com/track/4M4DTyLupKvbJKlE4I4EYq,143,143,0.147,0.803,193043,0.628,1.92e-06,9,0.0461,-4.358,0,0.0536,92.021,4,audio_features,0.661
JC Reyes,CL,145,34267,34 Amor y Mafia,https://open.spotify.com/track/5wFI6bHnr4bwwnQGnADRHG,144,144,0.331,0.844,206955,0.771,0.0,9,0.0893,-4.026,1,0.043,94.028,4,audio_features,0.829
KAROL G,CL,146,33842,Tusa,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX,145,145,0.309,0.799,201920,0.701,7.36e-05,2,0.0514,-3.272,1,0.282,100.946,4,audio_features,0.607
Bad Bunny,CL,147,33672,Safaera,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,146,146,0.0103,0.607,295177,0.829,0.0,2,0.107,-4.074,1,0.379,96.172,4,audio_features,0.685
Olivia Rodrigo,CL,148,33622,happier,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,147,147,0.765,0.395,175933,0.443,9.67e-06,6,0.0839,-9.72,1,0.133,168.924,3,audio_features,0.338
Rusherking,CL,149,33515,Bailando Te Conocí,https://open.spotify.com/track/0vvuIsoJ101Hme1VIXBIEi,148,148,0.0392,0.848,194400,0.622,0.0,7,0.0879,-3.652,1,0.0625,99.972,4,audio_features,0.558
Bad Bunny,CL,150,33023,Si Veo a Tu Mamá,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,149,149,0.402,0.9,170972,0.603,4.81e-06,2,0.134,-5.313,1,0.0646,129.928,4,audio_features,0.824
The Police,CL,151,33015,Every Breath You Take,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,150,150,0.543,0.82,253920,0.452,0.00294,1,0.0714,-9.796,1,0.0348,117.401,4,audio_features,0.74
KAROL G,CL,152,32873,LOCATION,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE,151,151,0.0487,0.771,263013,0.765,0.0,1,0.313,-3.887,0,0.0508,115.984,4,audio_features,0.66
Don Omar,CL,153,32667,Dile,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,152,152,0.184,0.817,204600,0.714,0.000132,4,0.042,-7.501,0,0.141,94.001,4,audio_features,0.714
Wisin,CL,154,32654,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm,153,153,0.0696,0.833,366613,0.858,0.0,9,0.239,-3.283,1,0.0794,91.967,4,audio_features,0.675
Migrantes,CL,155,32588,Si Me Tomo Una Cerveza,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N,154,154,0.185,0.72,182199,0.613,0.0,1,0.155,-6.899,0,0.0572,84.974,4,audio_features,0.857
Bad Bunny,CL,156,32401,Ignorantes,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,155,155,0.267,0.85,210607,0.536,3.89e-05,1,0.0996,-5.161,1,0.0599,96.029,4,audio_features,0.505
Bad Bunny,CL,157,32334,HACIENDO QUE ME AMAS,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4,156,156,0.869,0.584,217769,0.411,4.47e-05,10,0.0955,-7.147,0,0.0838,169.934,4,audio_features,0.412
